,SchoolId,QuestionIndex,QuestionText,AnswerHeader,AnswerText,Iteration
0,114620231,2,Does the name observed at school match with the name on the list?,,Yes,1.0
1,114620231,59,How many physical and seperate classrooms are there in this school?,,12,1.0
2,114620231,60,How many classrooms are presently in use in this school?,Number of classrooms in use,12,1.0
3,114620231,60,How many classrooms are presently in use in this school?,Number of classrooms not in use,0,1.0
4,114620231,61,How many classrooms are useable and non-useable?,Number of useable classrooms,12,1.0
5,114620231,61,How many classrooms are useable and non-useable?,Number of non-useable classrooms,0,1.0
6,114620231,62,How many of the following other rooms are there in this school?,Staff rooms,0,1.0
7,114620231,62,How many of the following other rooms are there in this school?,Libraries,1,1.0
8,114620231,62,How many of the following other rooms are there in this school?,Offices,1,1.0
9,114620231,62,How many of the following other rooms are there in this school?,Stores,0,1.0
10,114620231,62,How many of the following other rooms are there in this school?,Clinics,1,1.0
11,114620231,62,How many of the following other rooms are there in this school?,Computer rooms,2,1.0
12,114620231,62,How many of the following other rooms are there in this school?,Playrooms,0,1.0
13,114620231,63,Are any classes held outside the building (because classrooms are non-useable or insufficient)?,,No,1.0
14,114620231,64,How many classes are held outside?,,,1.0
15,114620231,65,"Length, Width and Diagonal of an average class in INCHES",Length,328,1.0
16,114620231,65,"Length, Width and Diagonal of an average class in INCHES",Width,268,1.0
17,114620231,65,"Length, Width and Diagonal of an average class in INCHES",Diagonal,418,1.0
18,114620231,66,Is the classroom shared by more than one class?,,No,1.0
19,114620231,66,Is the classroom shared by more than one class?,,No,2.0
20,114620231,66,Is the classroom shared by more than one class?,,No,3.0
21,114620231,66,Is the classroom shared by more than one class?,,No,4.0
22,114620231,66,Is the classroom shared by more than one class?,,No,5.0
23,114620231,66,Is the classroom shared by more than one class?,,Yes,6.0
24,114620231,66,Is the classroom shared by more than one class?,,Yes,7.0
25,114620231,66,Is the classroom shared by more than one class?,,Yes,8.0
26,114620231,66,Is the classroom shared by more than one class?,,No,9.0
27,114620231,66,Is the classroom shared by more than one class?,,No,10.0
28,114620231,66,Is the classroom shared by more than one class?,,No,11.0
29,114620231,66,Is the classroom shared by more than one class?,,Yes,12.0
30,114620231,67,What class level are you recording for?,,Nursery 1,1.0
31,114620231,67,What class level are you recording for?,,Nursery 1,2.0
32,114620231,67,What class level are you recording for?,,Nursery 2,3.0
33,114620231,67,What class level are you recording for?,,Kindergarten,4.0
34,114620231,67,What class level are you recording for?,,Primary 1,5.0
35,114620231,67,What class level are you recording for?,,Primary 1,7.0
36,114620231,67,What class level are you recording for?,,Primary 2,8.0
37,114620231,67,What class level are you recording for?,,Primary 3,9.0
38,114620231,67,What class level are you recording for?,,Primary 3,10.0
39,114620231,67,What class level are you recording for?,,Primary 4,11.0
40,114620231,68,What class arm are you recording for?,,B,1.0
41,114620231,68,What class arm are you recording for?,,A,2.0
42,114620231,68,What class arm are you recording for?,,A,3.0
43,114620231,68,What class arm are you recording for?,,A,4.0
44,114620231,68,What class arm are you recording for?,,A,5.0
45,114620231,68,What class arm are you recording for?,,A,7.0
46,114620231,68,What class arm are you recording for?,,B,8.0
47,114620231,68,What class arm are you recording for?,,B,9.0
48,114620231,68,What class arm are you recording for?,,A,10.0
49,114620231,68,What class arm are you recording for?,,A,11.0
50,114620231,69,Number of children observed in classroom,Male,18,1.0
51,114620231,69,Number of children observed in classroom,Female,13,1.0
52,114620231,69,Number of children observed in classroom,Male,13,2.0
53,114620231,69,Number of children observed in classroom,Female,12,2.0
54,114620231,69,Number of children observed in classroom,Male,16,3.0
55,114620231,69,Number of children observed in classroom,Female,19,3.0
56,114620231,69,Number of children observed in classroom,Male,16,4.0
57,114620231,69,Number of children observed in classroom,Female,17,4.0
58,114620231,69,Number of children observed in classroom,Male,12,5.0
59,114620231,69,Number of children observed in classroom,Female,12,5.0
60,114620231,69,Number of children observed in classroom,Male,12,7.0
61,114620231,69,Number of children observed in classroom,Female,11,7.0
62,114620231,69,Number of children observed in classroom,Male,19,8.0
63,114620231,69,Number of children observed in classroom,Female,11,8.0
64,114620231,69,Number of children observed in classroom,Male,14,9.0
65,114620231,69,Number of children observed in classroom,Female,9,9.0
66,114620231,69,Number of children observed in classroom,Male,10,10.0
67,114620231,69,Number of children observed in classroom,Female,26,10.0
68,114620231,69,Number of children observed in classroom,Male,8,11.0
69,114620231,69,Number of children observed in classroom,Female,10,11.0
70,114620231,70,Type of classroom sharing,,,1.0
71,114620231,70,Type of classroom sharing,,Sharing across sections of same grade,6.0
72,114620231,70,Type of classroom sharing,,Sharing across sections of same grade,7.0
73,114620231,70,Type of classroom sharing,,Sharing across sections of same grade,8.0
74,114620231,70,Type of classroom sharing,,Sharing across sections of same grade,12.0
75,114620231,71,What class levels are you recording for?,Primary 2,X,7.0
76,114620231,73,What class level are you recording for?,,,1.0
77,114620231,73,What class level are you recording for?,,Primary 5,6.0
78,114620231,73,What class level are you recording for?,,Primary 6,7.0
79,114620231,73,What class level are you recording for?,,Primary 4,12.0
80,114620231,74,What class arms are you recording for?,A,X,6.0
81,114620231,74,What class arms are you recording for?,B,X,6.0
82,114620231,74,What class arms are you recording for?,A,X,7.0
83,114620231,74,What class arms are you recording for?,B,X,7.0
84,114620231,74,What class arms are you recording for?,B,X,12.0
85,114620231,75,Number of children observed in each class arm,Class A Male,13,6.0
86,114620231,75,Number of children observed in each class arm,Class A Female,6,6.0
87,114620231,75,Number of children observed in each class arm,Class B Male,10,6.0
88,114620231,75,Number of children observed in each class arm,Class B Female,14,6.0
89,114620231,75,Number of children observed in each class arm,Class A Male,7,7.0
90,114620231,75,Number of children observed in each class arm,Class A Female,13,7.0
91,114620231,75,Number of children observed in each class arm,Class B Male,15,7.0
92,114620231,75,Number of children observed in each class arm,Class B Female,10,7.0
93,114620231,75,Number of children observed in each class arm,Class A Male,8,12.0
94,114620231,75,Number of children observed in each class arm,Class A Female,10,12.0
95,114620231,75,Number of children observed in each class arm,Class B Male,12,12.0
